frame_id,est_x,est_y,gt_x,gt_y,track_state,n_candidates,n_matches,n_inliers,inlier_ratio,h_scale,ms
139,1732.8768,2878.2644,1603.0420,2975.4591,1,0,652,545,0.8359,0.6219,155.6
140,1729.2767,2872.4306,1598.9503,2969.9934,1,0,686,573,0.8353,0.6270,169.7
141,1725.2234,2865.9001,1594.3616,2963.8637,1,0,674,556,0.8249,0.6275,153.7
142,1720.8069,2859.8300,1589.8634,2957.8548,1,0,663,550,0.8296,0.6225,155.3
143,1716.5500,2853.0597,1585.0864,2951.4737,1,0,652,552,0.8466,0.6250,155.9
144,1712.9502,2847.8807,1581.3090,2946.4277,1,0,647,545,0.8423,0.6192,159.0
145,1709.2853,2842.3243,1577.3272,2941.1087,1,0,670,520,0.7761,0.5889,157.6
146,1704.5253,2835.1371,1572.1696,2934.2191,1,0,665,566,0.8511,0.6203,155.6
147,1700.0069,2828.1149,1567.1779,2927.5511,1,0,649,546,0.8413,0.6232,164.1
148,1695.9025,2821.7561,1562.6532,2921.5069,1,0,651,532,0.8172,0.6217,166.4
149,1691.9914,2815.7176,1558.3517,2915.7608,1,0,659,551,0.8361,0.6253,157.5
150,1687.4700,2809.0088,1553.5093,2909.2923,1,0,664,544,0.8193,0.6246,167.0
151,1683.7834,2803.6874,1549.6323,2904.1133,1,0,639,552,0.8638,0.6220,193.4
152,1679.1082,2796.3858,1544.4504,2897.1912,1,0,634,520,0.8202,0.6228,185.9
153,1675.2565,2790.8114,1540.3927,2891.7709,1,0,644,549,0.8525,0.6211,190.4
154,1671.3040,2784.7521,1536.0662,2885.9915,1,0,656,571,0.8704,0.6161,168.3
155,1667.1602,2778.5401,1531.5979,2880.0225,1,0,638,561,0.8793,0.6164,172.1
156,1662.4141,2771.4539,1526.4938,2873.2044,1,0,635,528,0.8315,0.6248,161.7
157,1658.7935,2765.9929,1522.5736,2867.9677,1,0,628,545,0.8678,0.6137,179.8
158,1654.5080,2759.3337,1517.8397,2861.6441,1,0,604,526,0.8709,0.6136,173.6
159,1650.4237,2753.3846,1513.5188,2855.8721,1,0,623,554,0.8892,0.6125,165.7
160,1645.5388,2746.2077,1508.3213,2848.9292,1,0,634,536,0.8454,0.6156,165.6
161,1642.0237,2740.7241,1504.4281,2843.7286,1,0,640,568,0.8875,0.6100,165.2
162,1637.9271,2733.7617,1499.6167,2837.3014,1,0,642,537,0.8364,0.6224,162.3
163,1633.4586,2727.5392,1495.0266,2831.1699,1,0,630,543,0.8619,0.6117,161.7
164,1629.8307,2722.5200,1491.3157,2826.2128,1,0,623,515,0.8266,0.6210,158.8
165,1625.7469,2716.2002,1486.8171,2820.2035,1,0,629,508,0.8076,0.6216,171.1
166,1621.1061,2709.2054,1481.7947,2813.4944,1,0,634,570,0.8991,0.6082,167.9
167,1617.2678,2702.9741,1477.4267,2807.6596,1,0,614,501,0.8160,0.6142,165.2
168,1612.3774,2695.8840,1472.2689,2800.7697,1,0,600,516,0.8600,0.6052,165.2
169,1608.4874,2689.8781,1467.9905,2795.0545,1,0,596,524,0.8792,0.6021,161.4
170,1604.3480,2683.9919,1463.6800,2789.2964,1,0,624,561,0.8990,0.6019,162.8
171,1599.6044,2677.1897,1458.7130,2782.6615,1,0,619,520,0.8401,0.6089,169.6
172,1596.5500,2671.9396,1455.0973,2777.8315,1,0,628,515,0.8201,0.6287,168.4
173,1591.8833,2665.4697,1450.3174,2771.4464,1,0,620,508,0.8194,0.6282,180.6
174,1587.5086,2658.8984,1445.5937,2765.1363,1,0,618,556,0.8997,0.6033,163.3
175,1583.6659,2652.7522,1441.2650,2759.3540,1,0,607,519,0.8550,0.6249,161.4
176,1578.5297,2645.5631,1435.9714,2752.2827,1,0,616,527,0.8555,0.6009,161.3
177,1574.8225,2640.0767,1432.0079,2746.9882,1,0,640,538,0.8406,0.6265,168.5
178,1570.4689,2633.2969,1427.1917,2740.5546,1,0,620,572,0.9226,0.5940,169.9
179,1566.7998,2627.2246,1422.9609,2734.9029,1,0,604,515,0.8526,0.6212,165.5
180,1562.2686,2620.7329,1418.2191,2728.5688,1,0,605,526,0.8694,0.6119,162.6
181,1557.9237,2614.5105,1413.6735,2722.4967,1,0,634,566,0.8927,0.6046,171.2
182,1553.5739,2607.9782,1408.9774,2716.2235,1,0,598,557,0.9314,0.5974,170.7
183,1549.4108,2601.9475,1404.5891,2710.3615,1,0,668,603,0.9027,0.6052,168.6
184,1545.4241,2595.5793,1400.1022,2704.3678,1,0,604,530,0.8775,0.6174,163.7
185,1540.9628,2589.1250,1395.4035,2698.0912,1,0,615,563,0.9154,0.5980,166.9
186,1536.5058,2582.6965,1390.7187,2691.8332,1,0,640,602,0.9406,0.5903,178.3
187,1532.4312,2576.5974,1386.3293,2685.9698,1,0,636,578,0.9088,0.6007,166.2
188,1528.1595,2570.1896,1381.7211,2679.8139,1,0,655,601,0.9176,0.5972,161.5
189,1523.9396,2563.7733,1377.1273,2673.6775,1,0,645,596,0.9240,0.5967,164.5
